,gender,age,location,status,username,ethnicity,occupation,description,match_age,children,orientation,religion,smoking,drinking,intent,AFGHANISTAN
9425,female,37 y.o.,"Zaporizhzhia, Zaporizhia Oblast, Ukraine, 69061",married,Nataliya78,white,-,"I love to live and feel. I adore children. I find serious man who will take care about me and my children. I love playing sport, reading books, look good films.",from 30 to 50,more than 2 living with me,Straight,Christian,non-smoker,never,"Romance, Serious Relationship, Marriage",ARGENTINA
14170,female,39 y.o.,"Zaporizhia, Zaporiz'ka oblast, Ukraine, 69061",single,Ira5,white,-,-,from 35 to 55,no children,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",ARGENTINA
2372,female,59 y.o.,"Kherson, Kherson Oblast, Ukraine, 73000",divorced,miosole,white,librarian,"I am active, cheerful, smart. I love my job, do fitness and yoga, learn English and German. I lead a healthy lifestyle. I like to read, cook, listen to good music and watch a good movie. I think that strong relationships in adulthood are built on respect and mutual understanding. I would like to have such a relationship ...",from 50 to 70,1-2 living with me,Straight,Atheist,non-smoker,never,Serious Relationship,ARGENTINA
4314,male,31 y.o.,"Kherson, Kherson Oblast, Ukraine, 73000",single,Mikejank1,white,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance",ARGENTINA
1858,female,58 y.o.,"Kherson, Khersons'ka oblast, Ukraine, 73009",widowed,margarita23,white,-,-,from 45 to 60,1-2 living with me,Straight,Atheist,light smoker,never,"Serious Relationship, Marriage",ARGENTINA
3749,female,36 y.o.,"Kherson, Khersons'ka oblast, Ukraine, 73009",separated,katerynas,white,-,-,from 19 to 86,1-2 living with me,Straight,Christian,light smoker,social drinker,"Friendship, Serious Relationship, Marriage",ARGENTINA
5155,female,35 y.o.,"Kherson, Kherson Oblast, Ukraine, 73009",single,Lyuda8081988,white,-,-,from 19 to 45,1-2 living with me,Bisexual,Christian,non-smoker,never,Friendship,ARGENTINA
4324,female,26 y.o.,"Ivano-Frankivsk, Ivano-Frankivs'ka oblast, Ukraine, 76000",single,Irina_,white,Student,-,from 19 to 26,no children,Straight,Christian,non-smoker,occasional drinker,"Fun, Friendship",ARGENTINA
5725,female,53 y.o.,"Kalush, Ivano-Frankivsk Oblast, Ukraine, 77311",separated,Irina1970,white,???€????????e????,-,from 44 to 56,don't want children,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",ARGENTINA
6417,male,39 y.o.,"Kolomyya, Ivano-Frankivsk Oblast, Ukraine, 78200",single,RomanBor,mixed,IT,-,from 25 to 39,want children,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",ARGENTINA
1835,female,33 y.o.,"Lviv, Lviv Oblast, Ukraine, 79000",single,kristina234,white,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,"Romance, Serious Relationship, Marriage",ARGENTINA
3663,male,56 y.o.,"Lviv, Lviv Oblast, Ukraine, 79000",divorced,Bory,white,-,-,from 19 to 86,1-2 living with me,Straight,Christian,social smoker,occasional drinker,"Serious Relationship, Marriage",ARGENTINA
5834,female,33 y.o.,"Lviv, Lviv Oblast, Ukraine, 79000",single,Yelyzaveta,white,landscape architect,-,from 29 to 43,no children,Straight,Other,non-smoker,never,Friendship,ARGENTINA
10922,female,52 y.o.,"Lviv, Lviv Oblast, Ukraine, 79000",widowed,Tanushka,white,?????????????€,-,from 50 to 60,1-2 living with me,Bisexual,Christian,non-smoker,never,Serious Relationship,ARGENTINA
10440,female,31 y.o.,"Druzhkivka, Donetsk Oblast, Ukraine, 84201",single,alina15,white,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,social drinker,Serious Relationship,ARGENTINA
10538,female,24 y.o.,"Pokrovsk, Donetsk Oblast, Ukraine, 85302",single,olya_ol,white,-,-,from 19 to 55,no children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship",ARGENTINA
1424,female,57 y.o.,"Mukachevo, Zakarpattia Oblast, Ukraine, 89611",in relationship,Erichka,white,-,-,from 54 to 60,1-2 living with me,Straight,Christian,non-smoker,never,"Friendship, Serious Relationship",ARGENTINA
5106,female,33 y.o.,"Mukachevo, Zakarpats'ka oblast, Ukraine, 89611",divorced,Nyusha,white,-,-,from 28 to 33,1-2 living with me,Straight,Christian,non-smoker,never,"Friendship, Serious Relationship, Marriage",ARGENTINA
8097,female,42 y.o.,"Severodonetsk, Luhansk Oblast, Ukraine, 93408",divorced,Ve_ro_ni_ka,white,???€??????,-,from 35 to 45,1-2 living with me,Straight,Atheist,non-smoker,occasional drinker,"Serious Relationship, Marriage",ARGENTINA
637,male,64 y.o.,"Nagybajom, 7561 Hungary",single,Hemi,white,Pensioner,Hello. I am recently retired. In Germany I worked as a site manager. But I've been living in Hungary for 12 years. There I have an old Hungarian farmhouse surrounded by greenery near a forest. I am mobile and drive cars and quads. I also have a dog and a cat.,from 50 to 62,no children,Straight,Atheist,non-smoker,social drinker,"Serious Relationship, Marriage",ARGENTINA
11655,male,64 y.o.,"Nagybajom, 7561 Hungary",single,Hemi,white,Pensioner,Hello. I am recently retired. In Germany I worked as a site manager. But I've been living in Hungary for 12 years. There I have an old Hungarian farmhouse surrounded by greenery near a forest. I am mobile and drive cars and quads. I also have a dog and a cat.,from 50 to 62,no children,Straight,Atheist,non-smoker,social drinker,"Serious Relationship, Marriage",ARGENTINA
2685,female,43 y.o.,Abu Dhabi - United Arab Emirates,single,IRINA4434,white,-,-,from 38 to 48,want children,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage",ARGENTINA
8431,female,33 y.o.,Abu Dhabi - United Arab Emirates,single,Joicecute,asian,-,-,from 27 to 50,no children,Straight,Christian,non-smoker,never,Serious Relationship,ARGENTINA
8985,male,35 y.o.,"Kabul, Afghanistan",single,888888,white,Finance manager,-,from 29 to 30,no children,Straight,Muslim,light smoker,occasional drinker,Marriage,ARGENTINA
14223,male,44 y.o.,"Kabul, Afghanistan",single,dubaicity,white,-,I am straight.i hate liars. i want everyone live in peace around world. i want all peoples be happy and successful in their works.,from 19 to 38,no children,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,ARGENTINA
114,male,37 y.o.,"Tirana, Albania",divorced,Serge123,white,-,-,from 19 to 28,no children,Straight,Other,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",ARGENTINA
1554,male,36 y.o.,"Tirana, Albania",single,Alko,mixed,Marketing,-,from 19 to 86,no children,Straight,Other,social smoker,social drinker,Romance,ARGENTINA
1889,male,45 y.o.,"Elbasan, Albania",single,davidea,white,-,-,from 19 to 86,no children,Straight,Other,social smoker,social drinker,"Fun, Friendship",ARGENTINA
3041,female,54 y.o.,"Tirana, Albania",separated,alida,white,tourism agency,-,from 45 to 53,1-2 living elsewhere,Straight,Atheist,non-smoker,social drinker,Serious Relationship,ARGENTINA
4067,male,34 y.o.,"Tirana, Albania",single,fatjont,white,-,-,from 19 to 48,no children,Straight,Other,social smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",ARGENTINA
6370,male,54 y.o.,"Vlor??, Albania",divorced,maringlen43,white,mekanic,-,from 19 to 86,want children,Straight,Other,light smoker,occasional drinker,"Serious Relationship, Marriage",ARGENTINA
8017,male,34 y.o.,"Tirana, Albania",single,Lloku11,white,-,-,from 19 to 30,no children,Straight,Atheist,social smoker,never,"Fun, Friendship, Romance, Serious Relationship",ARGENTINA
8023,male,37 y.o.,"Kor????, Albania",single,ILIA,white,Sport,-,from 19 to 35,want children,Straight,Christian,light smoker,never,"Serious Relationship, Marriage",ARGENTINA
8281,male,34 y.o.,"Durr??s, Albania",single,Enno,white,-,"L'anima di una persona ?? nascosta nel suo sguardo, per questo abbiamo paura di farci guardare negli occhi.",from 19 to 86,no children,Straight,Spiritual,non-smoker,occasional drinker,"Serious Relationship, Marriage",ARGENTINA
8437,female,32 y.o.,"Tirana, Albania",single,Crossstate01,mixed,-,"I am here to make friends and meet . I am actually here to make a real friend of the same gender , i am trying to find exactly that person we all believe it is out there that when you finally meet them , you dont have to try to connect things together or try to be reliable because it will all follow a natural course , that friend . To start riots with secret cults escape to another country , or just have tea and play late night table tennis and threat everyone with their lives that threatens that of your friend , a friend who you share with each others secrets and dreams and basically exist in expression through them because they want it , sharing doing things together , and absolutely nothing bad is to be expected from because they are real just as you are . And who knows maybe you can do great things with in life if its meant . Id like to start it with tea and table tennis and just mandatory throwing our selves at each others shelter room or house , maybe you live in a van , i couldnt care less haha ^_^ . I accept any kind of normal or freak as long as they have strength to be good and trusted . Major matter in my life is , i believe in the messiah and i am christian i pray and i am very self experienced and i dont fit in absolutely anything around , i am living all in from me to god from god to me . Id like then to meet people who just want good things to happen and want me with them , and make this easy and possible with no unnatural twist or turn of darkness or nonsense disappointment . So just someone really really equal about this message me and please something more than hi",from 27 to 86,no children,Straight,Christian,non-smoker,social drinker,Friendship,ARGENTINA
9761,male,39 y.o.,"Vlor??, Albania",single,ledio,white,-,-,from 30 to 40,no children,Straight,Other,non-smoker,never,"Friendship, Serious Relationship, Marriage",ARGENTINA
10544,male,37 y.o.,"Tirana, Albania",divorced,Serge123,white,-,-,from 19 to 28,no children,Straight,Other,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",ARGENTINA
10877,female,56 y.o.,"Kor????, Albania",single,cvet,white,-,"The family is sacred and should be blessed and crowned in the Church. The husband will have to be serious, God-believing, kindly, honest, sincere, cultured, intellectual,to be a citizen with the pure moral figure towards law, justice and non-alcoholic and non-smoking.",from 19 to 86,no children,Straight,Christian,non-smoker,never,Marriage,ARGENTINA
11059,male,34 y.o.,"Durr??s, Albania",single,Raultr,hispanic,Casino dealer,-,from 19 to 86,no children,Straight,Other,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",ARGENTINA
11925,male,32 y.o.,"Kor????, Albania",single,Sami135,white,-,-,from 19 to 86,want children,Straight,Christian,non-smoker,never,Marriage,ARGENTINA
13844,male,32 y.o.,"Durr??s, Albania",single,danjehoxha345,white,-,-,from 19 to 86,no children,Straight,Atheist,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",ARGENTINA
15183,male,48 y.o.,"Tirana, Albania",separated,bobi,white,teacher,-,from 19 to 86,1-2 living elsewhere,Straight,Atheist,non-smoker,never,Serious Relationship,ARGENTINA
5136,male,35 y.o.,"Wilhelmshaven, Alemania",single,Alsalgom,white,software entwicler,-,from 25 to 35,want children,Bisexual,Spiritual,non-smoker,occasional drinker,"Fun, Friendship, Serious Relationship, Marriage",ARGENTINA
9368,male,54 y.o.,"Neum??nster, Alemania",single,Paddel,white,-,Me gustar??a vivir en Paraguay y tal vez conocer?? a alguien querido aqu??.,from 19 to 86,no children,Straight,Christian,non-smoker,social drinker,Serious Relationship,ARGENTINA
11963,male,47 y.o.,"Karlsruhe, Alemania",single,JuanAntonio76,white,Mettalbau,-,from 19 to 86,no children,Straight,Other,non-smoker,social drinker,"Friendship, Romance, Serious Relationship",ARGENTINA
3,male,60 y.o.,"Algiers [El Djaza??r], Algeria",single,maliktabib1964,white,-,-,from 19 to 50,no children,Straight,Muslim,non-smoker,never,Friendship,ARGENTINA
1987,male,46 y.o.,"Tizi Ouzou Province, Algeria",single,Faridson,white,Driller,-,from 25 to 46,no children,Straight,Muslim,social smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",ARGENTINA
2231,male,45 y.o.,"Souk Ahras, Algeria",single,lovehatelove00,mixed,-,-,from 19 to 86,no children,Straight,Other,social smoker,occasional drinker,Friendship,ARGENTINA
2349,male,46 y.o.,"Azazga, Algeria",single,Belcaceman,white,Self employed,"I'm friendly person, fun and also honest, I care about other peoples feelings, I enjoy making people around like. Whenever I can enjoy a break, I use to take a trip in the nature, to reconnect and learn how to live in harmony with it, or even practicing the sport... I seeking someone that take life simple, also caring and honest, thus sharing all the pleasure I've discovered in life. So all i want is a woman who interest for marriage",from 19 to 46,want children,Straight,Spiritual,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",ARGENTINA
3474,male,52 y.o.,"Algiers, Sidi M'Hamed, Algeria",divorced,ghalema,middle eastern,-,-,from 30 to 45,no children,Straight,Muslim,light smoker,never,"Serious Relationship, Marriage",ARGENTINA
4745,male,47 y.o.,"Oran, Algeria",single,kader11,middle eastern,-,-,from 28 to 42,want children,Straight,Muslim,non-smoker,never,"Serious Relationship, Marriage",ARGENTINA
9104,male,51 y.o.,"Boumerdes, Algeria",single,Punto73,white,Seller,-,from 19 to 86,no children,Straight,Muslim,non-smoker,never,"Friendship, Serious Relationship",ARGENTINA
11068,male,37 y.o.,"Bordj Bou Arreridj, Algeria",single,Fouzi,white,-,"My name is Fouzi, I am looking for a woman who shares family and love with me. I am a man who loves to work, especially if it is for the sake of the one I love. This makes me feel heroic and responsible",from 19 to 50,no children,Straight,Other,non-smoker,never,"Serious Relationship, Marriage",ARGENTINA
12997,male,40 y.o.,"Algiers, Sidi M'Hamed, Algeria",single,kamelf,white,-,-,from 19 to 86,no children,Straight,Muslim,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",ARGENTINA
13010,male,34 y.o.,"Ouargla, Algeria",single,faouzi_90,mixed,Self-employed,"I'm friendly loving and caring man my friends describe me as easy going person i like to do gym and swim, browser i love travling also and discover.",from 19 to 45,no children,Straight,Muslim,social smoker,social drinker,"Friendship, Serious Relationship",ARGENTINA
14129,male,34 y.o.,"Algiers, Sidi M'Hamed, Algeria",single,Lennon71,middle eastern,Airliner pilot,-,from 22 to 35,no children,Straight,Atheist,non-smoker,never,Friendship,ARGENTINA
5281,male,46 y.o.,"AD500 Andorra la Vella, Andorra",single,Manel,white,Gerente Electricista,-,from 23 to 39,no children,Straight,Atheist,social smoker,never,"Fun, Friendship, Romance, Serious Relationship",ARGENTINA
7545,female,47 y.o.,"AD700 Les Escaldes, Andorra",single,Neusadias,mixed,-,-,from 40 to 50,no children,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,ARGENTINA
12530,male,70 y.o.,"AD500 Andorra la Vieja, Andorra",separated,cont,white,-,-,from 25 to 45,1-2 living elsewhere,Straight,Atheist,non-smoker,occasional drinker,"Serious Relationship, Marriage",ARGENTINA
12175,female,33 y.o.,"Luanda, Angola",single,Mauria90,mixed,Computer system administration,"I?€?m Mauria, very fun happy women, love animal, plants, music and books, very open minded and respectful.",from 34 to 60,no children,Straight,Other,non-smoker,social drinker,"Romance, Serious Relationship",ARGENTINA
14134,male,56 y.o.,"Luanda, Angola",divorced,LuisA18,hispanic,-,-,from 37 to 45,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,Serious Relationship,ARGENTINA
1837,female,37 y.o.,"Antigua, Antigua and Barbuda",single,Camela,black,-,-,from 19 to 86,1-2 living with me,Straight,Spiritual,non-smoker,social drinker,Serious Relationship,ARGENTINA
4747,male,42 y.o.,"Saint Mary, Antigua and Barbuda",single,Muteki268,black,Power generation,-,from 29 to 43,1-2 living with me,Straight,Spiritual,non-smoker,occasional drinker,"Fun, Friendship",ARGENTINA
9536,female,41 y.o.,"Antigua, Antigua and Barbuda",single,Toughlove,black,-,-,from 28 to 50,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,ARGENTINA
9884,female,48 y.o.,"Saint Paul, Antigua and Barbuda",single,Vella,black,-,-,from 45 to 60,1-2 living with me,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",ARGENTINA
10687,male,26 y.o.,"Antigua, Antigua and Barbuda",single,andriw22,black,-,soy una persona humilded buen corazon,from 23 to 45,want children,Straight,Christian,non-smoker,occasional drinker,"Friendship, Romance, Marriage",ARGENTINA
